Date,TSLA.US,GM.US
2014/7/16,-0.011025569,-0.002638083
2014/7/17,-0.00810234,-0.010147353
2014/7/18,0.021448468,0.008261019
2014/7/21,0.002365694,0.000611341
2014/7/22,-0.004352942,0.008802709
2014/7/23,0.013252543,-0.009331533
2014/7/24,0.004719303,-0.04457324
2014/7/25,0.000134204,-0.018681099
2014/7/28,0.005588841,-0.004968636
2014/7/29,0.000847345,-0.012831402
2014/7/30,0.017372523,-0.00416832
2014/7/31,-0.024545746,-0.014203308
2014/8/1,0.044643877,-0.011280056
2014/8/4,0.022506157,0.005096875
2014/8/5,-0.000125776,-0.007378461
2014/8/6,0.043775512,0.001183355
2014/8/7,0.013901526,-0.00872123
2014/8/8,-0.01687864,0.012749324
2014/8/11,0.045097328,0.008008992
2014/8/12,0.002469921,-0.002978564
2014/8/13,0.001344435,0.007438327
2014/8/14,0.004108563,0
2014/8/15,0.002410288,-0.003258935
2014/8/18,-0.007900477,0.016574481
2014/8/19,-0.012233616,0.004991551
2014/8/20,-0.00408943,-0.001212126
2014/8/21,-0.005355687,0.002023895
2014/8/22,0.009595423,-0.010327969
2014/8/25,0.022466659,0.012551255
2014/8/26,-0.003085133,0.005173462
2014/8/27,0.005771005,-0.004087408
2014/8/28,0.002319088,-0.000769304
2014/8/29,0.022131012,0.003447958
2014/9/2,0.053464961,0
2014/9/3,-0.010310802,-0.009574121
2014/9/4,0.017246346,0.004685073
2014/9/5,-0.030237083,-0.001468326
2014/9/8,0.017012118,-0.030311203
2014/9/9,-0.012867344,-0.005117068
2014/9/10,0.009410028,0.006671467
2014/9/11,-0.002812166,0.009583267
2014/9/12,-0.003959909,-0.010129139
2014/9/15,-0.090757684,0.010910406
2014/9/16,0.027103522,0.002251921
2014/9/17,0.002450712,0.004226956
2014/9/18,0.009336999,0.00528671
2014/9/19,-0.017057084,-0.002590375
2014/9/22,-0.035822536,-0.014746764
2014/9/23,0.001517815,-0.00659751
2014/9/24,0.006906673,0.012901406
2014/9/25,-0.020583843,-0.023080311
2014/9/26,-0.001415269,0.009054167
2014/9/29,-0.005431873,-0.028625539
2014/9/30,-0.010519427,-0.008687039
2014/10/1,-0.010056432,0.017213076
2014/10/2,0.046534715,0.021303302
2014/10/3,0.015076396,0.017439064
2014/10/6,0.021200188,-0.000300112
2014/10/7,-0.004028847,-0.05868579
2014/10/8,-0.001121083,0.012860378
2014/10/9,-0.008753102,-0.035698261
2014/10/10,-0.078207074,-0.023807775
2014/10/13,-0.05200076,-0.016523742
2014/10/14,0.010993341,0.010704918
2014/10/15,0.011626908,-0.013939774
