id,ROE,ROA,îÑè„çÇèÉóòâvó¶,âcã∆óòâvîÑè„çÇî‰ó¶,ëçéëéYâÒì]ó¶,CFîÑè„çÇî‰ó¶,EBITDAîÑè„çÇî‰ó¶,ICR,ïâç¬î‰ó¶,DEÉåÉVÉI,ó¨ìÆî‰ó¶,å≈íËî‰ó¶,îÑè„çÇêLÇ—ó¶,âcã∆óòâvêLÇ—ó¶,ÉgÅ[ÉrÉìÇÃQ
9247,19.16705394,8.653662209,10.35153946,19.04481033,0.780247595,22.10687743,26.42697046,46.41067762,37.93590748,88.34094202,1.434952062,122.9367705,27.80314452,199.2057188,1.02178706
3093,24.9018376,12.44554339,6.525094142,9.831882626,2.093931103,8.815358973,11.57067309,90.1509434,28.3449115,56.71430815,1.726731657,31.79676457,15.13966878,18.38453915,2.239821605
4704,26.42848394,8.176194469,12.5090585,20.93490927,0.671041658,23.43215549,30.73873848,,0,0,1.19466818,3.672260159,1.227268393,20.1010248,2.701779315
6069,7.377123193,3.78014851,9.702516793,15.96807615,0.80845447,14.37669685,16.84868718,67.40853617,26.05487492,143.5643968,2.171998976,3.528585926,9.130662766,25.34099567,1.292426421
4369,15.25673168,11.6663016,23.09257458,24.71290354,0.565903825,23.53531304,32.74156388,39.20806983,8.728124918,11.41429945,3.057798289,47.65016307,26.32665019,12.28548719,2.503749972
4840,-9.698277344,-8.51422408,-29.70358545,-14.38785081,0.267697169,-12.33530185,-13.5762947,-16.85117579,9.337162106,10.63565944,7.998264541,2.741157847,48.176998,-9360.912788,0.89009806
6382,7.765376046,5.888080127,5.975557412,8.070866915,0.922086637,9.126315631,10.64597082,5063.74727,0.420550911,3.918212449,3.215269403,39.68924979,8.715857527,16.53687655,0.667691185
5136,33.15983701,2.780877007,19.49903305,20.19942935,0.167521396,24.67147431,20.25569419,30.58183935,5.152282441,58.13684049,1.093673905,2.199627946,37.81733337,93.61075315,1.423789782
5026,-21.7376032,-7.471880348,-6.020251906,-1.082353435,1.170516096,1.613274694,2.495104156,-2.112515371,33.45070968,120.0886989,1.680200344,23.47501425,29.55406564,-260.4764005,2.614317705
3047,23.67382433,5.643926461,4.60212065,7.020260562,1.243347388,8.841502757,11.08838744,31.51849558,53.6824184,225.1744688,1.004548066,125.2151749,21.81367116,85.50059978,0.945328184
4416,4.497787746,3.567093976,0.851259582,2.997198069,1.140455372,4.601086673,6.116381487,638.1506849,0.402116247,0.925242275,4.108581726,2.462994935,-2.43277005,-23.77485069,2.693360532
9830,8.526619848,5.127849119,4.962145712,7.129354493,1.101350177,6.609111901,8.871932834,36.92071197,25.83136638,42.9525589,2.519380932,72.69613212,8.480327024,14.20491516,0.910451122
3286,15.5794409,2.173130222,2.684386854,4.112325998,1.467094707,5.15555199,7.021170242,5.618210151,62.06086987,577.6242656,1.320544069,184.8706948,-5.889608991,-21.5629773,1.288060251
7313,1.689503531,1.196902624,1.874210122,3.451143722,1.048314325,5.567691753,6.558975406,21.74145007,1.331510803,2.12208173,2.798408954,30.61674225,4.25638367,3.470052083,0.710103633
3608,3.818930538,2.177332323,2.270102044,2.589101356,1.059636038,-1.334051531,5.811413352,16.83268482,25.72501205,45.12036729,2.264336459,7.444548484,6.691314509,164.2638974,0.814771025
6464,-72.92021061,-17.8071714,-38.67004596,-8.872087862,0.427950328,-6.155762705,-3.519624268,-3.741545894,62.61324823,256.400702,1.014055485,97.81017956,-8.013593077,-632.3024055,0.839950998
6371,8.830299065,6.175338483,7.923909267,8.186093491,0.732013823,12.06513057,13.35205396,77.47457627,7.331431186,9.680920673,3.092760579,45.30041184,4.640346011,7.487184311,0.804795578
8052,10.90152502,4.736172918,3.773235845,4.84302985,1.272315124,4.011325338,5.092380332,401.4,0.079465989,0.530443332,1.558789603,5.610810069,9.53278768,15.03630111,0.940636913
4890,-25.1232303,-15.93105892,15.16181539,17.46719002,0.565674548,24.84701205,19.3390773,218.4820276,3.610689527,4.711542823,2.888263669,2.770602644,101.494955,,4.401595207
2767,35.39045764,18.36528453,7.93777253,10.80444726,1.4247232,9.29499719,12.20648594,121.512,11.2578699,18.50438169,2.608927904,19.92210321,-0.945583168,28.68762179,1.524321548
1840,-1.572472111,-0.759800522,-0.296517415,-0.355220075,1.16119155,-0.135096227,0.777029808,-1.670368931,11.40872345,58.85994066,1.536794395,81.02403961,-5.47458453,-162.9913581,0.743145822
6217,-5.444327362,-0.527911175,-0.736310548,-0.225689057,1.189237247,1.30053319,1.70395238,-0.3125,41.30990089,414.9279944,0.887706915,252.230418,-2.738372891,-120.0501253,0.972634035
6101,23.92959919,11.82269492,10.14979844,20.53141671,0.876752918,18.41617711,22.59265811,64.67155425,9.336559157,18.73539279,2.682856174,29.4751737,27.97993518,85.39722573,1.016856839
2418,12.81307105,3.40236053,6.52301799,13.05150831,0.580466867,13.94349819,19.12169095,6.25163827,55.60019409,209.386757,1.382871027,240.3203268,15.0287198,28.7623161,0.907256417
8025,-1.570846472,-0.763977472,-3.925857301,-3.436311714,0.339249915,-1.342795223,-2.317475798,-2.895008441,27.67017616,57.8652215,0.662234572,90.53387463,-1.196312516,-49.35396689,0.680096499
8039,5.537708429,2.180460186,0.45983273,0.487070209,3.694885153,1.11673663,1.063863877,10.48275862,29.87591856,103.8549793,1.209745405,99.03625516,6.325275549,744.4444444,1.128094989
6332,19.7010563,9.536640173,4.789743958,6.578087406,0.695719304,6.636980644,9.231155959,58.33757962,11.26045525,18.45133837,2.321323193,47.84603647,12.10096212,35.34801241,0.800452819
6596,-40.38016184,-22.67696291,-29.37367826,-18.77157356,0.608563161,-21.8865751,-17.9012735,-34.77258567,30.94279098,51.70051291,6.465227536,0,-27.15749177,-585.5212652,11.62971673
2978,3.562095563,1.014507476,1.316688379,3.389467209,1.472008723,3.057797902,3.662277623,5.643443044,53.89635655,364.6417959,1.657958601,7.26118373,47.70922095,76.81263969,1.68326786
4540,9.65357983,6.247469745,17.90682136,22.15767589,0.405749725,26.31134279,28.32577736,77.46332046,15.24505793,45.0552522,4.77620209,42.67313522,20.05237164,100.4495954,0.992866095
6551,27.18993147,12.00133874,2.799351211,4.802134486,3.785074553,4.641026615,6.18650832,139.9215311,3.497699391,9.93380319,1.400974177,5.458647904,11.47372755,39.2645224,2.023880977
3391,4.872005663,2.589228881,2.941571849,4.345626075,1.300190065,5.279111531,6.461737851,25.11434263,12.65105605,23.80477724,1.240780107,35.81854719,35.35573804,31.25432687,1.178010637
6351,8.166313559,5.861956216,12.90516912,15.0636222,0.551389452,13.36066296,17.91119339,78.25954198,12.61890821,15.85381356,3.16156884,29.55614407,8.668508199,14.64996645,0.842587216
5386,1.319819305,0.9907675,1.781554972,2.724510174,0.429773959,8.603805921,4.586884847,23.97727273,8.190816796,7.553862819,1.345701675,86.19971373,7.00458232,79.63701095,0.432275474
7937,3.877581121,3.771987718,7.99677874,9.700020133,0.35777312,9.003422589,10.78719549,,0,0,32.91423571,9.235988201,24.75511127,44.07894737,0.531890498
8157,14.39441978,7.839848038,4.849231145,6.59658264,1.212083459,5.670496525,7.969428981,73.65909091,11.77580699,19.7413715,2.227498374,4.470513633,-21.29893637,0.652173913,0.955424676
9409,7.618793308,6.067824962,7.966832893,6.080739132,0.60010926,8.430950206,9.005542252,,0.532920627,4.566608624,2.135472736,33.0177629,5.247841818,59.70983952,0.660053909
