Date,Tesla,Nasdaq,GM,DJI,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
2012/4/19,1.531233208,-0.788071715,-0.584430261,-0.526749918,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2012/4/20,0,-0.236404261,-1.702970726,0.50261877,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012/4/23,-3.679427504,-0.999850022,-2.751803513,-0.783544115,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012/4/24,-0.375705034,-0.297934656,-0.265016167,0.575454643,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2012/4/25,3.425681059,2.297069152,1.825975869,0.685763862,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2012/4/26,1.762534184,0.692493803,1.770370412,0.870082012,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2012/4/27,-0.447894225,0.609386319,-0.812531504,0.179406905,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012/4/30,-0.629873081,-0.744167861,-2.254837516,-0.110974115,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012/5/1,1.961814123,0.13393033,1.350656396,0.497138182,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/2,0.473801066,0.308480088,-1.626510391,-0.08095294,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/3,-4.360777312,-1.161821658,-2.443545096,-0.467118913,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2012/5/4,-1.940850277,-2.247131568,-0.040670955,-1.274515223,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/7,2.010838831,0.048032364,0.220293764,-0.228097746,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/8,-7.021855525,-0.388469653,-0.813701268,-0.587614435,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/9,-0.430771065,-0.39236051,0.960127237,-0.750304089,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/10,9.647205589,-0.036460161,-0.317384933,0.155667367,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2012/5/11,-2.153977782,0.006135722,-1.659374946,-0.267910485,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/14,-6.790697674,-1.064823336,-1.65901558,-0.976943357,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/15,-2.095808383,-0.303867594,-0.987089138,-0.499001603,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/16,-0.849643221,-0.681466328,2.283290657,-0.264803673,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/17,-2.090133808,-2.099831596,-1.363833208,-1.238713979,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2012/5/18,-3.535520589,-1.240364077,-1.999759427,-0.587583353,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/21,4.390610288,2.462222766,1.704256037,1.092213191,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/22,7.021376434,-0.285542689,-0.174388434,-0.013355213,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/23,0.746832175,0.388858363,2.918402012,-0.053268025,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/24,-2.256769826,-0.376826239,-0.402910825,0.268882816,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2012/5/25,-1.682060821,-0.065155069,1.819843727,-0.59793691,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/29,6.306954557,1.179194581,1.833650911,1.010531657,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/30,-4.039438246,-1.171372941,-2.112303571,-1.278387751,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2012/5/31,-2.992112779,-0.353145177,-0.746021509,-0.212643299,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2012/6/1,-4.57626343,-2.824563017,-0.868119582,-2.21794577,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/4,-0.959145721,0.456054275,-4.079812927,-0.141188276,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/5,0.107603824,0.655794725,0.661795034,0.218899207,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/6,4.442485771,2.397673238,2.721512794,2.365115292,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/7,-0.754375222,-0.481593971,0.094664269,0.371895135,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2012/6/8,3.974759809,0.967849044,0.918386162,0.748256956,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/11,-3.191494667,-1.703388585,-0.5988271,-1.138822068,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/12,1.854398788,1.186590882,1.151504011,1.309862117,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/13,0.371207639,-0.860337593,-1.365839933,-0.615724761,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/14,-1.276786569,0.628678675,-0.313798206,1.244600436,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2012/6/15,1.769482425,1.285816531,-0.267091151,0.911008694,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/18,6.452858576,0.784252297,-1.440057387,-0.19855614,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/19,0.784860577,1.189156331,1.461098037,0.749578946,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/20,5.26660216,0.023551417,-1.208117883,-0.100799777,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/21,-4.706927176,-2.435120886,-3.90889728,-1.955804526,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2012/6/22,4.970643057,1.165755538,-0.182615047,0.534533947,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/25,-2.01272268,-1.945084047,-3.366264179,-1.092654093,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/26,-4.530360209,0.631135056,-0.298345715,0.256025518,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/27,1.10756265,0.744903751,-0.951408123,0.736676753,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2012/6/28,-1.721054879,-0.898334794,0.822381469,-0.196008398,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2012/6/29,-0.382043935,3.002642578,-0.515369282,2.204604571,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012/7/2,-2.844199425,0.551268292,-0.755308912,-0.067546112,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/3,0.855097278,0.842021801,5.619604197,0.562720887,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/5,1.859099804,0.00134405,-0.6381962,-0.364266499,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2012/7/6,-0.768491835,-1.303374864,-1.115632139,-0.963039296,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/9,1.613262343,-0.18928755,-0.432601239,-0.283265492,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/10,-0.698318035,-1.004171541,-2.086279147,-0.65301591,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/11,0.767507567,-0.494430337,0.510036628,-0.384015958,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/12,3.776414192,-0.75450661,-2.860520249,-0.248006074,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2012/7/13,4.739908257,1.475129004,1.485824162,1.621058006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/16,4.992708019,-0.396428363,-1.220279697,-0.39038623,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/17,-7.258074608,0.452201288,1.142132831,0.615453033,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/18,-3.598206294,1.118884964,2.396392812,0.805588831,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/19,0.373250969,0.791816761,0.353571984,0.268501088,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2012/7/20,-1.487451948,-1.368893085,-3.879460541,-0.933219813,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/23,-3.554425219,-1.201586162,-0.300755918,-0.788531472,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/24,-2.674657534,-0.939743612,-1.461181065,-0.818616731,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/25,-2.982411164,-0.305624539,-1.156894902,0.465471273,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/26,-2.832642487,1.366738606,1.652298354,1.671498614,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2012/7/27,4.905803245,2.241078372,2.931234995,1.456634231,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/30,-7.319565096,-0.41411857,-1.57849181,-0.020266663,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012/7/31,0.256124783,-0.214539826,1.81796211,-0.492082543,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2012/8/1,-4.266958425,-0.656909972,-0.262418736,-0.289191524,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/2,-0.571428571,-0.357508535,-2.652246344,-0.710658959,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012/8/3,4.482758621,1.9977524,4.704731895,1.687180873,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/6,3.667216722,0.741601806,-0.94886629,0.162948404,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/7,7.003878663,0.867919101,2.881070711,0.389479406,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/8,-3.835034983,-0.152858554,-0.196663718,0.053460505,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/9,1.100380028,0.245413034,1.327066806,-0.079313035,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012/8/10,1.801935053,0.073543053,-0.545020863,0.32479592,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/13,4.108216433,0.054951239,-0.339815348,-0.291642533,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/14,-5.614533205,-0.183290764,-1.264842212,0.02057796,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/15,-0.067811128,0.462382913,-0.339554206,-0.055875507,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/16,3.06122449,1.037965245,5.903723301,0.648168826,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012/8/17,-0.956930693,0.463690124,3.184884139,0.189356919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/20,-1.666441742,-0.012351337,-0.640700105,-0.026816922,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/21,-1.355136149,-0.290942426,-1.07689839,-0.512822831,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/22,2.885601364,0.208981306,0.466208869,-0.233421542,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/23,2.60433622,-0.659472227,-1.815518015,-0.875291131,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012/8/24,-4.002596807,0.536778673,-0.757663424,0.769751544,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/27,-4.000162712,0.110756762,0.201294915,-0.253078552,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/28,1.306673729,0.12853094,-1.316812945,-0.165185106,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/29,-0.976122384,0.131615721,1.699322878,0.034266988,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2012/8/30,0,-1.054138174,-0.869029238,-0.814573053,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012/8/31,0.387011616,0.59861384,1.140134329,0.693269829,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012/9/4,-1.332225337,0.264105173,-0.212430534,-0.419377213,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2012/9/5,-0.710554371,-0.188289009,2.125777724,0.088524495,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012/9/6,2.182888005,2.167942214,3.181125877,1.874078366,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2012/9/7,2.802456747,0.019452709,4.097226644,0.110141438,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012/9/10,-6.746155458,-1.033024914,-1.677704931,-0.393412612,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012/9/11,1.570694975,0.016430307,-0.05033595,0.521114296,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2012/9/12,1.72662181,0.31502353,0.698267911,0.074981086,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012/9/13,4.243288973,1.333200613,1.728507448,1.548823064,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2012/9/14,3.087013377,0.891049264,2.60118321,0.395203495,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012/9/17,7.074531096,-0.16583175,-1.40948197,-0.296247362,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012/9/18,-3.687774566,-0.027369938,2.64738647,0.085146572,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2012/9/19,-0.925176971,0.151677261,1.312961505,0.098196487,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012/9/20,-0.483091787,-0.209261552,-1.332703214,0.139711709,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2012/9/21,-2.848058252,0.125946171,1.552404977,-0.12841134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012/9/24,2.132082165,-0.603152241,-1.768691797,-0.151331385,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012/9/25,-9.784735812,-1.362005581,-3.4570325,-0.747625917,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2012/9/26,-0.433839479,-0.77075308,-0.555911673,-0.327251246,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012/9/27,3.449346405,1.386689078,-0.896320253,0.540201633,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2012/9/28,2.77308314,-0.649429318,-1.853149794,-0.36215415,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012/10/1,-0.409836066,-0.086643155,1.495658135,0.580332258,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/2,2.194958848,0.209087435,2.555471749,-0.242321372,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/3,-1.678185104,0.486852733,2.994544397,0.090859464,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/4,0.34146816,0.453874197,1.071120253,0.59838706,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2012/10/5,-1.734693878,-0.421342071,0.608971655,0.25627313,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/8,1.246105919,-0.760158026,-0.933869269,-0.194707626,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/9,-3.008717949,-1.520715858,-0.816242323,-0.810680487,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2012/10/10,0.105745692,-0.43197108,-0.563218023,-0.954167171,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
