Date,700.HK,175.HK
2020/6/24,487.179,11.9875
2020/6/26,481.416,12.3396
2020/6/29,482.411,11.9875
2020/6/30,494.912,11.9096
2020/7/2,514.669,12.2804
2020/7/3,520.621,13.8229
2020/7/6,516.162,16.0103
2020/7/7,512.191,16.5369
2020/7/8,538.985,16.5961
2020/7/9,558.842,16.5369
2020/7/10,542.459,17.1819
2020/7/13,537.004,18.607
2020/7/14,521.119,17.6691
2020/7/15,538.985,17.2786
2020/7/16,509.215,15.2095
2020/7/17,517.148,15.5221
2020/7/20,518.641,15.7371
2020/7/21,559.837,16.0882
2020/7/22,535.014,15.2677
2020/7/23,552.89,15.7174
2020/7/24,524.095,15.5024
2020/7/27,516.162,15.3466
2020/7/28,539.483,15.6198
2020/7/29,537.502,16.029
2020/7/30,531.052,15.8732
2020/7/31,530.057,15.9127
2020/8/3,535.014,16.2056
2020/8/4,545.932,16.459
2020/8/5,556.851,16.8496
2020/8/6,551.397,16.7125
2020/8/7,523.607,16.4393
2020/8/10,498.296,16.3614
2020/8/11,509.703,16.4788
2020/8/12,516.65,16.5764
2020/8/13,506.229,16.3417
2020/8/14,502.755,16.3032
2020/8/17,500.775,15.2677
2020/8/18,508.22,15.5803
2020/8/19,502.258,15.6198
2020/8/20,504.248,15.17
2020/8/21,514.172,15.1316
2020/8/24,543.952,15.1898
2020/8/25,540.478,15.3653
2020/8/26,547.425,15.1898
2020/8/27,553.875,15.463
2020/8/28,536.507,15.3653
2020/8/31,526.583,15.9906
2020/9/1,535.014,16.6938
2020/9/2,540.976,17.2401
2020/9/3,530.057,16.1267
2020/9/4,514.172,15.9511
2020/9/7,507.224,15.9709
2020/9/8,504.746,15.9511
2020/9/9,500.277,15.5606
2020/9/10,502.258,15.4245
2020/9/11,512.191,15.815
2020/9/14,525.588,15.5803
2020/9/15,525.588,15.7953
2020/9/16,530.555,15.6779
2020/9/17,523.11,15.6779
2020/9/18,521.119,15.6
2020/9/21,512.689,15.6198
2020/9/22,507.722,14.9363
2020/9/23,510.2,15.2677
2020/9/24,501.272,14.9363
2020/9/25,499.779,14.8189
2020/9/28,502.258,14.8969
2020/9/29,501.77,14.7608
2020/9/30,507.722,15.0339
2020/10/5,521.119,14.3702
2020/10/6,523.607,15.2489
2020/10/7,531.052,15.1316
2020/10/8,531.052,15.2292
2020/10/9,535.511,15.4245
2020/10/12,552.89,16.029
2020/10/14,569.263,16.3417
2020/10/15,547.923,16.3032
2020/10/16,552.89,16.0103
2020/10/19,557.349,15.7371
2020/10/20,560.335,16.2243
2020/10/21,562.315,15.9906
2020/10/22,559.339,15.9127
2020/10/23,557.349,15.9127
2020/10/27,580.679,15.7953
2020/10/28,596.564,15.5221
2020/10/29,600.536,15.6779
2020/10/30,586.631,15.5418
2020/11/2,597.052,17.6504
2020/11/3,593.578,18.6258
2020/11/4,584.153,19.2116
2020/11/5,620.382,20.8911
2020/11/6,609.961,20.4029
2020/11/9,617.904,20.5499
2020/11/10,590.602,19.9147
2020/11/11,546.928,18.7826
2020/11/12,572.736,20.0124
2020/11/13,597.55,20.2077
2020/11/16,592.593,20.3546
2020/11/17,577.205,20.5982
2020/11/18,584.65,22.0134
2020/11/19,568.765,22.1111
